business_name,inspection_score,Year,NumberofLocations,Weekend
WESTMARK - SOLSTICE CAFE,84,2005,47,False
PEANUT FARM - RESTAURANT,97,2019,92,False
MOMMA O'S SEAFOOD,95,2016,26,False
ORIENTAL GARDEN,82,2016,23,False
DIMOND CENTER CINEMAS,99,2007,40,False
RAY'S PLACE LLC,79,2006,109,False
WENDY'S #9,100,2008,46,False
MUFFIN MAN,91,2008,43,False
CABIN TAVERN,100,2000,23,False
DON JOSE'S MEXICAN RESTAURANT,79,2015,140,False
RAY'S PLACE LLC,79,2006,109,False
BARTLETT HIGH POOL/P & R,100,2000,21,False
YES INTERNATIONAL BISTRO,100,2015,40,False
HILTON GARDEN INN - POOL,100,2016,16,False
MCDONALD'S,96,2009,646,False
GRANNY B'S CAFE,96,2005,61,False
TAKU SCHOOL,100,2009,38,False
HOLIDAY INN EXPRESS - SPA,100,2008,40,False
MOCHA BEANS,100,2016,20,False
T.G.I. FRIDAYS,100,2004,68,False
DIMOND HIGH SCHOOL,100,2016,34,False
SHRIMP GUYS SEAFOOD #2,95,2016,8,True
CARRS #1812 - BAKERY,98,2017,8,False
HOLIDAY STATION STORE #620,98,2007,23,False
CARRS #1817 - DELI,93,2002,72,False
HOLIDAY STATIONSTORE #632 SNACK,95,2001,34,False
TACO BELL #19953,100,2000,46,False
HOLIDAY INN EXPRESS,100,2002,26,False
HAMBURGER HAVEN,84,2007,129,False
SICILY'S PIZZA,93,2005,323,False
SORRENTO'S,90,2016,52,False
NAPOLI'S PIZZA,95,2007,77,False
CAPTAIN COOK - FLETCHER'S BAR,96,2008,24,False
VILLAGE INN #3,89,2006,79,False
CHUCK E CHEESE PIZZA,95,2007,91,False
HACIENDA MEXICAN REST./BAR,97,2009,22,False
CAMP FIRE - GOVERNMENT HILL,100,2004,32,False
CAMP FIRE - CHUGACH,100,2002,31,False
BENSON SECONDARY SCHOOL,100,2004,43,False
MIDNIGHT SUN BREWING COMPANY,85,2015,34,False
INLET VIEW ELEMENTARY SCHOOL,98,2003,38,False
CAROUSEL CHILD CARE CENTER,95,2016,58,False
CAMP FIRE - ABBOTT LOOP,98,2009,32,False
CHUCK E CHEESE PIZZA,73,2000,91,False
COLD STONE CREAMERY,100,2003,92,False
CHINA TOWN RESTAURANT,71,2017,28,False
SAMURAI SUSHI,84,2008,119,False
HUMPY'S GREAT ALASKAN ALEHOUSE,93,2005,78,False
SIMON & SEAFORTS,81,2018,74,False
HILTON GARDEN INN - POOL,100,2016,16,False
BEAR TOOTH GRILL,91,2009,75,False
KALADI BROTHERS COFFEE,97,2017,99,False
"MOTHER LODE, LLC, THE",82,2017,17,False
HOLIDAY STATIONSTORE #607 SNACK,100,2007,39,False
CHUCK E CHEESE PIZZA,90,2004,91,False
CAPRI PIZZA,94,2009,28,False
JITTERS - WHERE COFFEE IS AN ART,99,2000,28,False
KOBE TEPPAYAKI HOUSE,84,2019,151,False
SORRENTO'S,98,2009,52,False
ROSCOE'S SOUL FOOD,90,2017,24,False
SUBWAY OF ALASKA #4803,97,2009,53,False
MORNING STAR CHRISTIAN SCHOOL,100,2005,35,False
RAVENWOOD ELEMENTARY CAFETERIA,100,2003,37,False
H2OASIS ACTIVITY POOL,100,2003,56,False
ANCH HILTON - BANQUET ROOM,100,2003,29,False
TACO BELL #5649,88,2017,55,False
MCDONALD'S,100,2003,646,False
KOBE TEPPAYAKI HOUSE,84,2019,151,False
CARRS #1805 - DELI,95,2016,86,False
MCDONALD'S,98,2009,646,False
WEST HIGH SCHOOL,100,2008,36,False
PLAYER'S CHOICE BINGO,92,2016,36,False
POLAR BAR,87,2005,28,False
CAPTAIN COOK - MAIN KITCHEN,97,2007,40,False
REGAL CINEMAS TOTEM 8,93,2005,47,False
GALLO'S MEXICAN RESTAURANT-BAR,91,2003,35,False
CAMP FIRE - SCENIC PARK,100,2005,38,False
STARBUCKS COFFEE CO #19819,100,2015,12,False
HILAND MOUNTAIN CORRECTIONAL CTR,91,2017,51,False
HILAND MOUNTAIN CORRECTIONAL CTR,96,2004,51,False
FRED MEYER - STARBUCKS,92,2009,82,False
YES INTERNATIONAL BISTRO,100,2015,40,False
ANCHORAGE COMMUNITY YMCA EAGLE RVR,95,2016,18,False
CARRS #1807 - SERVICE MEAT,100,2009,27,False
DARWINS THEORY BAR,91,2002,15,False
TIPS BAR,97,2017,27,False
CHINA LIGHTS ORIENTAL CUISINE LLC,85,2007,178,False
SUBWAY STORE#27668,92,2006,25,False
MCDONALD'S,87,2008,646,False
CHUGIAK/EAGLE RIVER FOOD PANTRY,95,2002,15,False
SUBWAY OF ALASKA #10986,90,2005,50,False
SOUTH ANCHORAGE AREA HIGH SCHOOL,100,2017,35,False
FRED MEYER - RETAIL FISH,100,2016,86,False
SAMURAI SUSHI,86,2017,119,False
BENIHANA RESTAURANT,95,2008,83,False
FRED MEYER - DELI,94,2015,189,False
CAPTAIN COOK - POOL,100,2002,26,False
UAA - CUDDY COFFEE HOUSE,100,2015,13,False
CARRS #520 - MEAT,98,2003,24,False
TACO KING IV,100,2015,41,False
CARRS #1817 - ORIENT EXPRESS,95,2005,53,False
CAMP FIRE - GLADYS WOOD,100,2007,32,False
SARA'S SANDWICHES,95,2009,48,False
KINLEY'S RESTAURANT & BAR INC,85,2005,71,False
BEGICH MIDDLE SCHOOL -MULDOON,100,2009,27,False
KINCAID GRILL,94,2006,49,False
LUCKY GROCERY & DELI,96,2015,13,False
HILLTOP SKI AREA,99,2002,55,False
GWENNIES RESTAURANT,90,2016,126,False
CAMP FIRE - SPRING HILL,95,2002,28,False
HOLIDAY STATION STORE #629,100,2003,23,False
LITTLE ITALY,92,2008,66,False
SAMURAI SUSHI,85,2008,119,False
THE SMOKE HOUSE #3,88,2017,13,False
"NEW CENTRAL MARKET PROCESSING, THE",81,2004,98,False
FRED MEYER - RETAIL STORE,95,2015,49,False
CREEKSIDE ELEMENTARY SCHOOL,100,2007,39,False
SERVICE HIGH SCHOOL,100,2008,42,False
5TH AVENUE DELI,90,2005,70,False
TUDOR ELEMENTARY SCHOOL,100,2017,39,False
KOBE TEPPAYAKI HOUSE,84,2019,151,False
KOBE TEPPAYAKI HOUSE,84,2019,151,False
FRED MEYER - BAKERY,100,2004,88,False
BENNY'S FOOD WAGON,85,2009,77,False
FRED MEYER  DELI #668,95,2017,52,False
FRIED RICE EXPRESS,89,2017,24,False
HOLIDAY STATIONSTORE #631,99,2006,31,False
L'AROMA BAKERY & DELI - RESTAURANT,92,2000,161,False
UNCLE JOE'S PIZZERIA #4,92,2017,40,False
DRAGON RESTAURANT,88,2009,191,False
SILVERTIP GRILL,95,2017,62,False
FLO'S PANCAKE HOUSE,98,2015,29,False
WENDY'S #5,97,2006,44,False
SHELL - EAGLE RIVER A & W,100,2006,33,False
KODIAK KUP ESPRESSO,100,2008,27,False
SIS'S DELI & ESPRESSO BAR,100,2000,47,False
THAI SIAM RESTAURANT,87,2016,56,False
FRED MEYER - STARBUCKS,100,2015,82,False
WENDY'S #1,94,2003,63,False
LUIGI'S PIZZA,70,2005,117,False
"ALASKA CLUB HOT TUB, THE",100,2005,50,False
GWENNIES RESTAURANT,85,2007,126,False
CLUB PARIS,86,2009,50,False
KIDS' CORP - EAST,100,2008,28,False
MRS FIELDS COOKIES,100,2017,6,False
LAHN PAD-THAI RESTAURANT,84,2009,102,False
FRED MEYER - RETAIL FISH,100,2004,86,False
COLD STONE CREAMERY,93,2009,92,False
LITTLE BEARS PLAYHOUSE,100,2008,32,False
MEKONG RESTAURANT,90,2009,86,False
CAPTAIN COOK - THE CAFE,86,2005,54,False
SUBWAY OF ALASKA #10986,100,2016,50,False
FIRE LAKE ELEMENTARY CAFETERIA,100,2017,38,False
GOLDEN CORRAL,90,2016,114,False
ASIAN KITCHEN - NORTHWOOD,97,2015,51,False
BISTRO IT LOUNGE,97,2016,8,False
JUDY'S CAFE,93,2002,55,False
BEAR TOOTH GRILL,96,2003,75,False
O'MALLEY ON THE GREEN - RESTAURANT,83,2002,50,False
CLARK MIDDLE SCHOOL,94,2002,40,False
HANSHEW MIDDLE SCHOOL,100,2016,40,False
SUBWAY OF GIRDWOOD INCORPORATED,98,2016,12,False
CAMP FIRE - CHESTER VALLEY,100,2018,20,False
YES INTERNATIONAL BISTRO,100,2015,40,False
PIZZA MAN #1,89,2004,83,False
UNCLE JOE'S PIZZERIA #2,99,2001,36,False
CHAIR 5,98,2004,72,False
SOUTHSIDE BISTRO,91,2007,59,False
SAMURAI SUSHI,73,2009,119,False
GWENNIES RESTAURANT,90,2007,126,False
CARRS #520 -  DELI,89,2004,80,False
FRIED RICE EXPRESS,89,2017,24,False
FAIRVIEW ELEMENTARY SCHOOL,98,2000,38,False
DING HOW RESTAURANT,89,2004,196,False
FAIRFIELD INN & SUITES - HOT TUB,100,2017,28,False
KINCAID ELEMENTARY,100,2007,38,False
WENDLER MIDDLE SCHOOL,100,2006,43,False
ROCHELLE'S ICE CREAM - S,98,2017,17,False
URBAN SUSHI SPOT,93,2016,36,False
LUIGI'S PIZZA,70,2005,117,False
CAMP FIRE - TRAILSIDE,100,2016,30,False
FAITH DAY CARE & LEARNING CENTER,100,2003,43,False
CARRS #520 -  DELI,92,2008,80,False
BRIGHT BEGINNINGS EARLY LEARNING,90,2006,134,False
NEW PHO SAIGON RESTAURANT,79,2015,112,False
JALAPENOS MEXICAN RESTAURANT,96,2004,104,False
SWEET BASIL CAFE,90,2017,96,False
PEKING WOK,94,2016,271,False
OUTBACK STEAKHOUSE REST.,84,2016,124,False
MIDNIGHT MOOSE,100,2016,5,False
SLEEPY COYOTE CAFE,96,2002,22,False
RAE RAE'S II,89,2015,71,False
TACO GRANDE #1,90,2009,32,False
ARCTIC CHOICE,100,2015,8,True
BLAINES KITCHEN & SNACK BAR,89,2016,18,False
MIDDLE WAY CAFE,86,2009,62,False
BAYSHORE CLUBHOUSE - SPA,100,2017,35,False
PROVIDENCE HOSPITAL - CAFE SOLANGE,98,2005,33,False
H2OASIS SLOW RIVER,100,2015,57,False
BURGER JIM #1,92,2017,101,False
SARA'S SANDWICHES,100,2006,48,False
WONDER PARK SCHOOL,100,2005,37,False
PEANUT FARM SPORTS BAR & GRILL,95,2019,50,False
BAHAY KUBO RESTAURANT,91,2016,19,False
CARRS #1812 - ORIENT EXPRESS,100,2007,34,False
"OLIVE GARDEN ITALIAN RESTAURANT, THE #4412",89,2016,37,False
KOBE TEPPAYAKI HOUSE,84,2019,151,False
CARRS #2628 - STARBUCKS,100,2005,20,False
"ALASKA CLUB SOUTH, THE (SNACK BAR)",91,2016,36,False
KALADI BROS. COFFEE,98,2015,48,False
SPRING HILL ELEM CAFETERIA,96,2006,37,False
HOLIDAY INN EXPRESS - POOL,100,2006,37,False
ROGERS PARK ELEMENTARY SCHOOL,100,2007,38,False
BURGER JIM #1,87,2009,101,False
VILLA PIZZA,82,2004,68,False
JUDY'S CAFE,99,2015,55,False
HOLY SPIRIT CENTER,90,2009,24,False
UNCLE JOE'S PIZZERIA #4,92,2003,40,False
HOLIDAY STATIONSTORE #628 SNACKBAR,94,2009,57,False
VIP DBA YOUNG BIN RESTAURANT,93,2004,115,False
EDDIES SPORTS BAR-,97,2017,8,False
GROUND THEORY/GRANT HALL COFFEE SHOP,98,2017,15,False
H2OASIS ALASKA TUB,100,2017,58,False
NEW SAGAYA CITY MARKET - GROCERY,90,2005,43,False
CHINA TOWN RESTAURANT,92,2016,28,False
KOBE TEPPAYAKI HOUSE,84,2019,151,False
GLACIER BREWHOUSE,82,2007,70,False
KIDS' CORP - EAST,100,2004,28,False
KOBE TEPPAYAKI HOUSE,84,2019,151,False
ANCHORAGE SENIOR CENTER,90,2015,95,False
"BARRY'S BARANOF LOUNGE, INC",86,2017,8,False
HOLIDAY STATIONSTORE SNACKBAR #625,89,2017,36,False
FRED MEYER 00656 - RETAIL FISH,100,2008,19,False
ANCHORAGE CORRECTIONAL FACILITY WEST,96,2016,58,False
SUBWAY,98,2017,99,False
DON JOSE'S MEXICAN RESTAURANT,87,2007,140,False
MT VIEW RED APPLE GROCERY,93,2007,42,False
CACHE STORE 2 - SNACK,90,2016,8,False
HOLIDAY STATION STORE #638,100,2016,30,False
BRANDIES,94,2016,34,False
FRED MEYER - BAKERY,98,2003,88,False
DING HOW RESTAURANT,90,2005,196,False
LOS ARCOS RESTAURANT,82,2006,79,False
ESSENTIAL 1 POWER STOP,94,2009,44,False
FAIRFIELD INN & SUITES -  POOL,100,2005,22,False
GLACIER BREWHOUSE,91,2005,70,False
FRED MEYER  DELI #668,95,2017,52,False
SULLIVAN ARENA - S E PORT,100,2007,17,False
JAVA THE HUT,88,2007,79,False
MORNING STAR CHRISTIAN SCHOOL,100,2015,35,False
IMAGINATION STATION,96,2016,19,False
CARRS #1813 GASOLINE STATION,97,2017,12,False
GINGER,92,2015,58,False
CHUGIAK ELEMENTARY SCHOOL,100,2008,41,False
KALADI BROTHERS COFFEE - DOWNSTAIRS,100,2000,30,False
BOBBY'S CAFE,95,2017,55,False
SPARE ROOM (HAROLD'S),89,2007,30,False
CAPTAIN COOK - MAIN KITCHEN,100,2001,40,False
BASKIN ROBBINS #8046,100,2001,54,False
GALLO'S LOUNGE,95,2009,32,False
CROW CREEK MERCANTILE #1839,100,2007,53,False
BROTHER FRANCIS SHELTER,95,2017,12,False
GALLO'S LOUNGE,100,2002,32,False
DRAGON RESTAURANT,73,2004,191,False
STARBUCKS COFFEE CO #11426,100,2016,17,False
MEARS MIDDLE SCHOOL,100,2017,39,False
KOREAN RICE CAKE CO,82,2008,49,False
SUBWAY OF ALASKA #14372,83,2004,62,False
AIRPORT HEIGHTS SCHOOL,100,2006,37,False
ANCHORAGE CHRISTIAN PRESCHOOL,93,2002,48,False
ORGANIC OASIS HEALTH FOODS,89,2007,96,False
MCGINLEY'S IRISH PUB - FOOD,100,2006,17,False
WAFFLE RUSH,96,2017,15,False
CARRS #1817 - DELI,93,2002,72,False
KOBE TEPPAYAKI HOUSE,84,2019,151,False
TEXAS ROADHOUSE OLD SEWARD - REST,82,2018,18,True
UAA - BEAR NECESSITIES,100,2007,13,False
FRED MEYER - DELI,92,2005,189,False
ALPENGLOW ELEMENTARY,100,2006,39,False
SAND LAKE ELEMENTARY SCHOOL,100,2018,19,False
CAMP FIRE - RAVENWOOD,100,2015,32,False
CAFE LOCO 2,95,2007,66,False
BIRCHWOOD SALOON,96,2017,35,False
CHILDREN'S WORLD,100,2016,58,False
SUBWAY OF ALASKA #7527,98,2006,53,False
ANCHORAGE MARRIOTT DOWNTOWN,85,2008,43,False
SICILY'S PIZZA,92,2000,323,False
DRAGON RESTAURANT,82,2005,191,False
BLUES CENTRAL BAR,88,2016,9,False
"HOT SPOT, THE",94,2007,36,False
PEANUT FARM - BAR,97,2019,32,False
FLO'S PANCAKE HOUSE,88,2016,29,False
CARRS #1813 - RETAIL FISH,99,2006,26,False
JJ'S SPORTS LOUNGE,91,2015,24,False
"BARRY'S BARANOF LOUNGE, INC",86,2017,8,False
AFC SUSHI #668 @ FRED MEYER,100,2005,26,False
MCDONALD'S,99,2000,646,False
NORTHERN LIGHTS ESPRESSO CAFE,95,2007,27,False
MUFFIN MAN,95,2006,43,False
VILLA PIZZA,94,2008,68,False
PHO LENA,99,2017,23,False
FRED MEYER - DELI,93,2006,189,False
TRAILSIDE ELEMENTARY SCHOOL,99,2002,38,False
HULA HANDS RESTAURANT,100,2000,181,False
LITTLE BEARS PLAYHOUSE,100,2017,32,False
ANCHORAGE CORRECTIONAL COMPLEX EAST,93,2005,67,False
CACHE STORE 2,100,2018,7,False
WALGREENS #12680,90,2015,16,False
KOBE TEPPAYAKI HOUSE,84,2019,151,False
SOUTHSIDE BISTRO,91,2005,59,False
EAGLE RIVER ELEMENTARY SCHOOL,94,2001,35,False
TACO BELL #15248,96,2005,36,False
MIDDLE WAY CAFE,86,2016,62,False
SWEET PINK PEPPER,91,2006,154,False
CROSTINI CAFE,85,2004,53,False
TWIN DRAGON,76,2007,127,False
CAFE LOCO 2,100,2015,66,False
BEAR VALLEY ELEMENTARY,100,2003,38,False
LUCKY MARKET,96,2016,31,False
HOLIDAY STATION STORE #601,96,2000,42,False
CARRS #1813 - DELI,100,2004,68,False
KIDS' CORP - MULDOON,100,2009,51,False
BEAR MOUNTAIN GRILL,92,2008,81,False
SUBWAY OF ALASKA #15777,92,2016,70,False
CARRS #1805 - SALAD BAR,94,2008,40,False
UAA - CREEKSIDE COMMONS,100,2003,63,False
CARRS #1817 - RETAIL MEAT,99,2002,18,False
RUSSIAN JACK ELEMENTARY SCHOOL,100,2016,38,False
PANCHO'S VILLA,99,2001,62,False
ORSO,88,2018,39,False
"ALASKA MINT, LLC",100,2016,15,False
SPENARD ROAD HOUSE,92,2009,53,False
PHO LENA,91,2016,23,False
O'MALLEY ON THE GREEN - SNACK BAR,90,2004,25,False
UAA - SPIRIT EXPRESS,90,2017,12,False
ANCHORAGE RESCUE MISSION,85,2005,59,False
ESPRESSO ESPRESSIONS CAFE & EATERY,93,2016,110,False
BOBBY'S CAFE,92,2015,55,False
COMFORT SUITES/KITCHEN,97,2015,37,False
CARRS #1805 - DELI,88,2009,86,False
RISE & SHINE BAKERY,100,2016,10,False
CENTURY THEATRE,100,2006,31,False
H2OASIS ACTIVITY POOL,100,2004,56,False
LALO'S PIZZA,95,2008,41,False
PIZZA PLAZA,100,2004,90,False
CHEPO'S-BAR,89,2016,26,False
"BARNES & NOBLE BOOKSELLERS, INC",94,2007,36,False
HUMPY'S SUB-ZERO,100,2002,38,False
MCDONALD'S,100,2015,646,False
KALADI BROTHERS COFFEE,89,2006,99,False
SOUTHSIDE CHEVRON - GROCERY,100,2015,6,False
BENIHANA RESTAURANT - BAR,100,2000,20,False
I.H.O.P.,93,2016,208,False
DOWNTOWN CHEVRON - SNACK BAR,95,2001,33,False
MCDONALD'S,100,2015,646,False
MILLENIUM HOTEL - FLYING MACHINE,91,2008,123,False
VILLA PIZZA,94,2016,68,False
FAIRFIELD INN & SUITES - SNACKS,100,2017,4,False
PEPPERCINI'S DELI HOUSE,83,2017,25,False
"NEW CENTRAL MARKET, THE",93,2016,55,False
MOUNTAIN VIEW ELEM SCHOOL,100,2006,45,False
ANCH HILTON - HOOPER BAY,90,2006,76,False
BASKIN ROBBINS,88,2015,75,False
ANCHORAGE SENIOR CENTER,96,2007,95,False
JUDY'S CAFE,96,2017,55,False
HOST COMMISSARY,93,2004,48,False
SUBWAY OF ALASKA #4802,89,2003,37,False
ROMANO'S,94,2008,54,False
GALLO'S LOUNGE,96,2016,32,False
PIPER'S LOUNGE,89,2002,27,False
MEKONG MARKET,100,2007,30,False
CROSTINI CAFE,95,2015,53,False
FRED MEYER - DELI,93,2007,189,False
HAMBURGER HAVEN,76,2016,129,False
AK ALCHEMIST,91,2015,30,False
ALASKA SAUSAGE CO INC.,99,2003,20,False
TACO KING III,82,2006,47,False
OUTBACK STEAKHOUSE - BAR,98,2005,36,False
AK FRESH SEAFOOD & SPICE,95,2016,13,False
FRUITLAND FRESH #2,100,2004,37,False
SAMURAI SUSHI,88,2009,119,False
ANCHORAGE COMFORT INN - POOL,100,2004,40,False
CARRS #1807 - GROCERY,97,2006,36,False
HOLIDAY STATIONSTORE #632 SNACK,98,2016,34,False
MILLENIUM HOTEL - FANCY MOOSE BAR,93,2006,47,False
NAPOLI'S PIZZA,95,2007,77,False
